//ERROR: FILE TOO LARGE FOR MACHINE TRANSLATION

GENOTYPE        MEMBRANE IDENTIFIER              LOCAL DESIGNATION          LOCAL ID  LOCAL HSU LOCATION  LOCAL STATUS
T5HBWN64J6XWVA  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  James Cobb                 O-6725    FAPS3WJ             Unknown
Z3QFI46OMJ2M3W  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  James Cromwell             T-3078    5GKS9O7             Active
E34PD0WYF64ATY  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Javier Meroz               GO-5247   CATQLWB             Active
CQ6Y6OSHAMN1AZ  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  John Schaeffer             T-7555    LKFBZ5X             Unknown
8CE6WYW91R9HZQ  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Klas Henrikson             T-5130    CSP9RYP             Unknown
14R28KCDVHBGHP  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Natalia Hirsch             O-3817    QW0XDZY             Unknown
KSS64FV6DDPPHB  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Phillipe Rasmon            O-6119    4THOXW4             Active
73GUDHUZ7OAITE  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Richard Maddox             GO-8855   BC89XI0             Unknown
C3YUD7NNOTQU9E  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Rodney Allen               GO-6435   JEJ3I4F             Unknown
17BMJ99FXWLCQC  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Ruud Kluivert              O-6087    F7179HV             Active
QEO5JYYI40MHYX  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Sanchez Vicaro             GO-3688   09GARI4             Active
SPQ7YP5VZFNHDJ  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Varley Griffith            O-9632    9PULE6M             Unknown
YXHC0DC5NKD2YE  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Andre Piros                A473      Unknown             Unknown
44F4XQ0E36IPZD  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Marcus Gantus              B286      Unknown             Deceased
IVQ2FFYQYEI3K0  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Edgar Soweta               E500      Unknown             Deceased
ZNPX51HOHE97TV  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Susan Grayson              C792      Unknown             Deceased
S21OHK4LMRC2OH  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Michel LeFavre             B987      Unknown             Unknown
IG9MRVU6Q01CD9  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Ian Glencoe                B978      Unknown             Deceased
Z2VZGPNE3CB95D  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Gus Addison                E439      Unknown             Deceased
2EHCAWOUZ4E8UL  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Jordy Fontella             E607      Unknown             Deceased
25EQENFRKR1C4X  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Adam Strauss               D429      Unknown             Unknown
OLN1S12ON6XCLH  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Gianna Hilton              D680      Unknown             Deceased
Q7B4E4NO320PBM  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Ethan Dorner               N338      Unknown             Unknown
MFGWG47F4Z1P0C  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Rodrigo Fernandez          N972      Unknown             Unknown
OUONIIJXC95YCG  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Amara Gabris               N288      Unknown             Unknown
Q6EOF8AEW99781  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Anders Johanson            A499      Unknown             Unknown
3NG3ANMVGVLS5J  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Andrew Clinton             B627      Unknown             Deceased
20QLIQWU0TB0QA  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  August Teale               B996      Unknown             Unknown
69LS205QV7YMIV  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Boris Stanovich            C469      Unknown             Unknown
2FDT1LM595YQ7A  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Ellis Carnegie             A976      Unknown             Deceased
7WPJ1LYIH0BSQL  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Nolan Connor               B474      Unknown             Deceased
U5ZM67UKCY10TC  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  John Masterson             E702      Unknown             Unknown
BLLQ5VH2BHHHQF  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Harriet Lorde              B554      Unknown             Deceased
C9RVQXC2GZZ828  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Artus Chaparon             D292      Unknown             Deceased
6SAC12XKVJW2ZN  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Nathaniel Burch            N968      Unknown             Deceased
WQFKVIIKLW7NET  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Stan Huerta                C860      Unknown             Deceased
E4Y2RCBT9ZVOX8  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Russell Maldonado          B904      Unknown             Deceased
D798JIZUAHLBZ7  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Michale Crawford           E106      Unknown             Deceased
8JJAQGB5KCNLR4  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Jessie Daniel              B419      Unknown             Unknown
G9YMX2KALNDV1E  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Dwight Gates               D905      Unknown             Deceased
7NIOID4TJHJ3X7  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Maxwell Terry              C293      Unknown             Unknown
NNXZLOB0JCHU2B  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Wayne Olsen                B113      Unknown             Deceased
CI7V42MDTDB1E3  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Chong Salazar              A798      Unknown             Unknown
6B4VHK0T2TFH0C  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Jeff Goodwin               E851      Unknown             Unknown
YFZ4GVUZZ3PK1P  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Santos Ayala               B902      Unknown             Unknown
DVNT4PR16IRDAY  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Duncan Zamora              N642      Unknown             Deceased
JZ6LSNQFYSIH7B  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Chase Phelps               D698      Unknown             Unknown
IHF019RI342YXR  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Silas Kline                N458      Unknown             Deceased
CJQ27YVYBPMICH  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Jonah Thompson             D774      Unknown             Unknown
K9UPLYNO8BOHL1  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Tyrone Mills               E911      Unknown             Unknown
EZVPAX2PIC8L72  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Lamont Sharp               A816      Unknown             Unknown
26QNLDYE24LALL  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Lloyd Rosales              E811      Unknown             Deceased
77OAOYL35A1VVR  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Allen Hayden               A735      Unknown             Unknown
MXCU33IAGSKU9H  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Adele Bianchi              O-8374    QEUT8B2             Active
PJY1GF1E5XOMTH  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Adrien Blanchard           F-5066    K4ZGL29             Active
YNL82Q6VRLKZ2Q  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Alain-Gilles Peron         O-4792    0MYO80P             Inactive
Q8ZGWMJB4VBVSX  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Alexis Wiley               O-9540    ONMOV7M             Active
46ODT7910G573P  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Alfonse Sautier            O-6088    HHKEC9T             Active
GCENOO97PB86V8  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Alfred Le Prevost          O-9612    C7LTMC1             Active
NBBV2YVM1L8CBT  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Alfredo Mengolo            F-2376    2ESNMJP             Inactive
WQ83ZP022V3UF6  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Allison Duran              O-4140    CI0J3K4             Deceased
DVT4U4AKRI67JN  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Amber Gomez                O-2570    1EYC00D             Active
MVV5ZUJIJRAO3W  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Andrew Martin              T-9548    VM7SH00             Deceased
GM1V208C8JW820  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Anthony Hampton            F-5221    7EFOD7L             Inactive
BUBV80D3IR2TYX  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Antoine Cousin             O-9634    54BNCXZ             Inactive
0ABJF0KSM4JQBO  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Bernard Chauveau           GO-3136   L92ZRD9             Active
YC8XC4MULO6YZP  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Bob Montgomery             O-9775    49XWSNK             Active
0DRG4YH4ISP2XH  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Bobby Perry                GO-5566   AF7KHSX             Inactive
KI6G1BGSTCFBGQ  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Brian Walker               GO-4411   97FXIFT             Inactive
E7T0CACALE71FQ  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Caleb Porter               T-5204    FVQDWF7             Deceased
WIZW11IWQECXMY  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Carlo Zichichi             O-8674    2IA8XZI             Unknown
83S2U28RTFKOIF  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Chan Wung                  O-7600    D7PLQIZ             Active
567DAWVMLD5NCT  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Charles Humbert            T-4443    TBIWSB3             Active
92E48C75RP99TD  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Christopher Schultz        O-7372    NIVH5XE             Active
5WJRKH2YL1RICQ  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Claudia Grassi             O-3220    AYY7XFZ             Active
BLVZ7ACCXLQB4D  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Cody Garcia                O-1834    TL1UNLU             Active
TV8SREYHC1166H  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Corrado Treccani           O-3109    A5O3K3Q             Deceased
NVGCB1RD01TZ10  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Damiano Disdero            O-3111    DBE1DQ6             Active
LH5NU3W7NEIUKV  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Daniel Hill                O-9177    1FEXO9U             Inactive
0LED5KYTQHVPA5  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Danielle Scott             T-3498    L82OZVG             Active
TL17ESM42U2X2N  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Danielle Weekes            T-2459    WAOBSTF             Active
4A1FG26FWBX61Z  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Danilo Vianello            O-6320    DPH4DUL             Active
0N6Q7GGT23SLCI  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  David Le Jacquet           T-1644    BTE5GFY             Active
NU5J1P7NFZQ705  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Devon Jackson              T-3763    NH8OW4U             Inactive
2GATGGRHO2MA3V  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Dominique Michel           T-8633    RZ3KLKC             Inactive
NAAU82UTERAY95  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Elizabeth Bryant           GO-8648   H7DJ32J             Active
STBY8QYFWH51E8  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Etta Petrucci              GO-2159   3FKXRF2             Inactive
23OWVX0E84X258  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Eva Serraglio              GO-8431   XQX8MAF             Inactive
28T75N9FJIJYN0  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Evan Pusilic               O-4295    FRJTPTC             Inactive
ND511GHOYDUVK0  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Evangelista Bonatti        O-2313    62PYNZA             Active
TL0OIZQDU4PWNQ  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Fabia Cossiga              T-6823    GJHSNEX             Deceased
FPMIGBG0D2XF7Y  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Faith Romero               O-8545    PWVCFYM             Active
PD0FQCUTJBV1DF  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Ferdinando Tanzini         GO-3447   EWRM967             Deceased
227YTBHBYXS4SA  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Gaspare Disdero            GO-2303   CSSX48E             Active
8PKHNUNVMTW596  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  George Carter              O-2066    UCPB5VI             Active
8RQI0NFUT422RA  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Giampiero Ruggeri          O-8043    GJ4D23S             Inactive
M6JXVQZBHGF92W  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Gilberto Cabibbo           T-7021    L7G1U34             Inactive
AOVYPQQTQ13HY9  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Gioachino Mastroianni      O-9553    2GOPNAK             Inactive
C6EQ78B19S5HHX  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Giovanna Lucchesi          O-9942    4SYLOPW             Inactive
U5D8FMH0NRIXGT  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Gregor Stankovich          O-5485    DV6GKML             Active
M52REP33JDHQTZ  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Heather Jones              O-2155    B023OIM             Inactive
VN9IXYFRFYQ9PI  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Heronimous Kendrick        O-1533    URRS34D             Active
LI9LJ8PFEG3LME  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Holly Levy                 O-4090    VB5OTMS             Inactive
V25ZDY7PQSILOZ  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Isa Cantimori              O-6110    RK84AXG             Inactive
TMYXTPPZ30VHCA  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  James Garza                O-6927    P20BX1H             Inactive
CYZULRXOAREAJM  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Javier Martinez            GO-6028   NW97117             Inactive
AY861QRMI5GY7P  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Jennifer Lawrence          O-8194    B5NUU2U             Active
MI939Q96LJJ9QK  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  John Richard               F-8928    JVWMPBI             Active
X4IFA8R66PN1AQ  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Josette Le Roy             GO-8657   2DDUHRO             Active
HWJZ0VL2LQ3J9J  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Jude Wyndham               O-4155    GTOCP0G             Deceased
U03QJP00KU9RZY  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Juliette Davide            O-6347    HXXHKIN             Deceased
X4FDDWGP1HRN2F  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Karen Jones                O-9366    14EDMCT             Deceased
VGJABA7IVO2M0X  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Kenneth Sanders            T-1081    ZX4FYQR             Active
09FSBRZ4JC4WK3  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Kimberly Young             GO-3182   9DFKQDQ             Unknown
EI6EGC80HUQEQ9  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Krystal Chang              O-6462    PA7EHHH             Active
EWWQFH1GG5LQ94  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Lucas Crawford             GO-1801   B7T5H7H             Inactive
ICQICCLYBU0C86  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Lucy Grondin               O-4012    XI1H61C             Unknown
A57TWSJAS8D5KH  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Marcantonio Lacovelli      GO-4643   9ZOMMBF             Inactive
KG6LVW900AYA4M  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Marcel Millet              F-9687    B1MWKUQ             Active
V8HQ16Y4B4RYSA  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Margaret Charpentier-Mor   O-1419    15VQKFV             Active
RANS83CDKYLC0Y  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Martin Gillet              O-3206    DAINL0U             Inactive
ZKPJTDUJCU25HZ  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Martin Lewis               GO-2185   JYRPF21             Active
6W9CO2N8EB6NHK  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Melissa Phillips           GO-5781   263GEI8             Inactive
HPZQK580FKGNCA  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Michael Ewing              O-3812    ZBSGA1F             Active
K2D1A8D5PN1U85  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Michael Newman             O-3982    9KVYZ9I             Active
L9RNDD2WGBZ80P  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Micheletto Aulenti         O-4528    5Z6A559             Unknown
1T9T83BT7UF42B  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Nancy Flores               O-2657    J18SZAE             Inactive
IXI1WQFNR6GDIR  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Nedda Gabba                F-5484    H1NXRE9             Inactive
PG51SG8H3UYE0Z  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Ornella Pometta-Torloni    GO-2998   V7Y9PNI             Unknown
LCXW1TOVBGMU2H  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Ottavio Gucci-Niscoromn    O-7668    YHBKYLP             Inactive
EB4YMF9GHL2UWQ  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Philippine Verdier-Dufour  GO-4375   FLERXOO             Active
C3HWD0DLLQLQP0  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Pierluigi Roccabonella     O-2483    B2T6QPH             Active
36PEFXF75AJ5VD  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Pierre Mace                GO-6693   WXDYZE6             Active
F9X2F22M83GI8T  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Preston Weeks              F-8478    TNCYEET             Active
2GAMPNT228WD7C  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Quentin Brookes            O-1074    YNE5CH6             Deceased
5F7NJ7EA6QIRDF  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Rebecca Dennis             O-5067    QTFXZ41             Inactive
AY5KZSV60C0DBB  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Renata Bassi               O-5925    I1WHTDH             Inactive
NR8F2KSVM8B22M  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Richard Guillet            O-7299    UMXTZ77             Inactive
3E8UDD86VYPKK7  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Robert Fernandez           T-8977    FY3TXNY             Active
6YD7AUYL2M2FDE  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Robert Howell              O-4618    DAV3NNT             Inactive
E9AP44DP9AJKTV  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Robert Powell              O-3425    8TUJ7FS             Deceased
49X8W1YT9FHY9U  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Rodney Collins             GO-6722   6MPJOOS             Active
9FJW5QLW97HU5K  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Russell Thomas             O-4546    R7V8EGZ             Inactive
MR8S88ON17PH9L  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Ruth Weintraub             O-2207    VTJJ6U1             Unknown
MZIRAXXAUDJ0HJ  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Samantha Brown             F-3346    9E1O9KR             Active
QPJZV04LLYO8ZQ  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Sandy Gersch               GO-4516   HM7188P             Active
2VLC694VGGT8UO  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Sara Martinez              O-3354    MYOWIQJ             Active
NRI46NEUXSRUF8  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Serena Pacelli             O-2662    IGIRDRH             Active
3DHML4DW3DRUBJ  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Sergius Prati              T-3714    UC5F7F5             Unknown
O6PWF9YNXH42VV  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Severino Grifeo            O-3832    3GX5UL4             Active
RMZBV27508F7IT  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Shannon Peterson           O-5446    BLC0O9L             Unknown
MTZ8P4MSRG49EF  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Shawn Mullen               O-6417    TGWCHVA             Deceased
4WYT652A0URDD2  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Sig. Silvio Russo          O-4234    57MATUZ             Active
OKUWVMT5AM4F1N  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Simonetta Sokolov          O-6449    P7A5DO3             Deceased
1APW4SXUFJG7Y4  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Stephanie Lawson           GO-7108   50HVKHR             Deceased
PK6STFPK31SMZY  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Steven Fairwood            O-9489    DQ1F2FW             Unknown
6N7LGMERIRLBRX  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Sylvie Fischer             O-1506    SUX8Q8Z             Active
IZ253OGI3187EM  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Terry Singh                O-2777    S0GUV7C             Inactive
JP3T9G23KNJADZ  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Thierry Voisin             GO-7911   EVLM4GG             Active
WCBFMHLB21GNTV  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Thomas Marshall            F-2878    5SDBQME             Unknown
XWJLCBPRFW3JSJ  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Thomas Roth                O-6968    2KLYEGU             Active
CHDFZC2PEC1J3A  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Thomas Williamson          O-1680    SHQ6CX0             Deceased
34WAAFTIQ2IKDQ  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Torquato Venturi           O-7730    COJPSB5             Inactive
FD262MPAOV4QRH  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Troy King                  O-9085    NZSA7LO             Inactive
